sponsors,beneficiary,ads_count,reference,note
Hillary for America,Clinton,38232,,
Donald J Trump For President,Trump,22610,,
Priorities USA Action,Clinton,11224,https://www.opensecrets.org/outsidespending/detail.php?cmte=C00495861&cycle=2016,
Rebuilding America Now,Trump,2600,https://www.opensecrets.org/outsidespending/detail.php?cmte=C00618876&cycle=2016,
NextGen California Action Committee,Clinton,2358,https://www.opensecrets.org/outsidespending/detail.php?cmte=C00615815&cycle=2016,
Women Vote!,Clinton,1110,https://ballotpedia.org/Women_Vote!,
Future45,Trump,960,https://www.opensecrets.org/outsidespending/recips.php?cmte=C00574533&cycle=2016,
Reform America Fund,Trump,803,https://www.opensecrets.org/outsidespending/recips.php?cmte=C00581934&cycle=2016,
NRA Institute for Legislative Action,Trump,791,https://www.opensecrets.org/political-action-committees-pacs/nra-institute-for-legislative-action/C70000716/candidate-recipients/2016,
45 Committee,Trump,766,https://www.opensecrets.org/political-action-committees-pacs/45-cmte/C90016478/independent-expenditures/2016,
National Rifle Assn,Trump,661,https://www.opensecrets.org/orgs/national-rifle-assn/recipients?toprecipscycle=2020&id=d000000082&candscycle=2016,
Donald J. Trump For President,Trump,524,,
Internet Archive,Split,511,,One Access Hollywood ad that hammers Trump and another more sympathetic ad from Trump.  Jump ball here.
Stop Hillary PAC,Trump,483,https://www.opensecrets.org/political-action-committees-pacs/stop-hillary-pac/C00544767/independent-expenditures/2016,
Great America PAC,Trump,465,https://www.opensecrets.org/political-action-committees-pacs/great-america-pac/C00608489/candidate-recipients/2016,
MoveOn.org,Clinton,425,https://www.opensecrets.org/political-action-committees-pacs/moveon-org/C00341396/candidate-recipients/2016,
Purple PAC,Other,274,https://www.opensecrets.org/outsidespending/recips.php?cmte=C00544569&cycle=2016,"Libertarian, attacks both Trump and Clinton"
Democratic National Cmte,Clinton,210,,
Correct The Record,Clinton,137,https://ballotpedia.org/Correct_the_Record,
Reclaim America PAC,Trump,110,https://www.opensecrets.org/political-action-committees-pacs/reclaim-america-pac/C00500025/candidate-recipients/2016,
Republican National Cmte,Trump,98,https://www.opensecrets.org/parties/recipients.php?cmte=RNC&cycle=2016,
American Bridge 21st Century,Trump,97,https://www.opensecrets.org/outsidespending/recips.php?cmte=C00492140&cycle=2016,
America Rising PAC,Trump,64,https://www.opensecrets.org/outsidespending/recips.php?cmte=C00542902&cycle=2016,
iAmerica Action,Clinton,58,,"Single issue organization regarding immigation, ads strongly against Trump"
Ready for Hillary,Clinton,49,https://www.opensecrets.org/party-totals-section,
Hillary Victory Fund,Clinton,29,https://www.opensecrets.org/jfc/summary.php?id=C00586537&cycle=2016,
NextGen Climate Action,Clinton,24,https://www.opensecrets.org/outsidespending/recips.php?cmte=C00547349&cycle=2016,
Save the Day PAC ,Clinton,21,https://www.opensecrets.org/outsidespending/recips.php?cmte=C00625228&cycle=2016,
Democratic Congressional Campaign Cmte,Clinton,20,,Strong Anti Trump messaging
Make America Number One,Trump,20,https://www.opensecrets.org/political-action-committees-pacs/keep-the-promise-i-make-america-number-1/C00575373/summary/2020,
Democratic Senatorial Campaign Cmte,Clinton,20,,Strong Anti Trump messaging
Fifty Second Street Fund,Clinton,7,https://www.opensecrets.org/outsidespending/recips.php?cmte=C00626887&cycle=2016,
Our Principles PAC,Clinton,6,https://ballotpedia.org/Our_Principles_PAC,Anti Trump PAC
Victory 2016 Committee,Trump,5,,"Single ad, very strong anti Clinton message based on Benghazi"
Club for Growth Action,Clinton,4,,Paints Trump as a liberal in very negative tones.
American Crossroads,Trump,3,,A few ads that are sharply critical of Hillary
Local Voices,Clinton,3,,Single ad criticizing Trump and supporting Clinton
Free the Delegates,Other,2,,Very critical of Trump and then ends up criticizing Hillary too
Fenton Communications Inc,Clinton,1,,"Single ad, very negative of Trump"
Friends of Patrick Murphy,Other,1,,"Attacks Rubio by associating him with Trump.  Still, not really about the presidential campaign."
Gary Johnson 2016,Other,5,,This is an ad trying to get Gary Johnson in the presidential debates with nothing much about Trump or Hillary.
